Interação,Resultado
1,0.5
2,0.75
3,0.875
4,0.9375
5,0.96875
6,0.984375
7,0.9921875
8,0.99609375
9,0.998046875
10,0.9990234375
11,0.99951171875
12,0.999755859375
13,0.9998779296875
14,0.99981689453125
15,0.999847412109375
16,0.9998626708984375
17,0.9998550415039062
18,0.9998512268066406
19,0.9998493194580078
20,0.9998483657836914
21,0.9998478889465332
22,0.9998476505279541
23,0.9998477697372437
24,0.9998477101325989
25,0.9998477399349213
26,0.9998477548360825
27,0.9998477473855019
28,0.9998477436602116
29,0.9998477417975664
30,0.9998477408662438
31,0.9998477413319051
32,0.9998477415647358
