Interação,Resultado
1,1.5415435405682276
2,1.58798747768823
3,1.591803480449598
4,1.5921152194072066
5,1.5921406739110198
6,1.5921427522726121
7,1.5921429219704017
8,1.5921429358261872
9,1.5921429369575089
10,1.592142937049881
11,1.5921429370574234
12,1.592142937058039
13,1.5921429370580895
14,1.5921429370580935
15,1.592142937058094
16,1.5921429370580937
17,1.5921429370580937
18,1.5921429370580937
19,1.5921429370580937
20,1.5921429370580937
21,1.5921429370580937
22,1.5921429370580937
23,1.5921429370580937
24,1.5921429370580937
25,1.5921429370580937
